Date,Time,CDD 15.5,Chiller 03 2Q3,Chiller 02 2Q9,Chiller 01 2Q10,Chiller CH-WC07301
2024-08-15,15:30:00,0.9,35.5,0.1875,0.21875,29.4957787414
2024-08-15,15:45:00,0.9,36.125,0.21875,0.09375,30.112454004
2024-08-15,16:00:00,0.9,34.5625,0.09375,0.1875,29.2238929584
2024-08-15,16:15:00,0.9,32.5,0.1875,0.09375,27.9146728097
2024-08-15,16:30:00,0.9,31.0,0.21875,0.21875,27.5782106655
2024-08-15,16:45:00,0.9,30.125,0.1875,0.1875,27.08780169
2024-08-15,17:00:00,0.9,31.0625,0.09375,0.09375,26.9229542395
2024-08-15,17:15:00,0.9,32.125,0.21875,0.21875,27.3543459674
2024-08-15,17:30:00,0.9,33.0,0.1875,0.09375,28.0247098216
2024-08-15,17:45:00,0.9,34.875,0.09375,0.1875,28.7265557952
2024-08-15,18:00:00,0.9,32.625,0.21875,0.21875,28.5085148644
2024-08-15,18:15:00,0.9,31.5,0.1875,0.09375,26.8256681471
2024-08-15,18:30:00,0.9,29.875,0.09375,0.1875,26.585411946
2024-08-15,18:45:00,0.9,30.5,0.21875,0.21875,23.8648292288
2024-08-15,19:00:00,0.9,29.8125,0.1875,0.09375,22.5431590681
2024-08-15,19:15:00,0.9,30.0,0.1875,0.1875,21.8114946995
2024-08-15,19:30:00,0.9,29.6875,0.125,0.125,22.8196657961
2024-08-15,19:45:00,0.9,29.3125,0.1875,0.1875,20.0133636063
2024-08-15,20:00:00,0.9,26.8125,0.1875,0.1875,18.7402261268
2024-08-15,20:15:00,0.9,25.6875,0.125,0.125,18.2132898589
2024-08-15,20:30:00,0.9,22.6875,0.1875,0.1875,17.0596410199
2024-08-15,20:45:00,0.9,22.9375,0.1875,0.09375,16.6913924039
2024-08-15,21:00:00,0.9,20.6875,0.21875,0.21875,15.9458116978
2024-08-15,21:15:00,0.9,21.6875,0.09375,0.1875,16.1578177786
2024-08-15,21:30:00,0.9,19.1875,0.1875,0.09375,14.751052022
2024-08-15,21:45:00,0.9,20.8125,0.21875,0.21875,14.7050361865
2024-08-15,22:00:00,0.9,18.1875,0.09375,0.09375,14.0408310094
2024-08-15,22:15:00,0.9,20.8125,0.1875,0.1875,13.9450849264
2024-08-15,22:30:00,0.9,17.6875,0.21875,0.21875,14.4091438342
2024-08-15,22:45:00,0.9,17.75,0.09375,0.09375,12.5186312774
2024-08-15,23:00:00,0.9,17.75,0.1875,0.1875,12.6608843412
2024-08-15,23:15:00,0.9,17.5,0.21875,0.09375,11.7620659765
2024-08-15,23:30:00,0.9,16.9375,0.1875,0.21875,11.740679374
2024-08-15,23:45:00,0.9,16.8125,0.09375,0.1875,9.1132651417
2024-08-16,00:00:00,0.2,14.5,0.21875,0.09375,10.0916400091
2024-08-16,00:15:00,0.2,15.375,0.1875,0.21875,10.1971113753
2024-08-16,00:30:00,0.2,16.8125,0.09375,0.09375,10.0836950462
2024-08-16,00:45:00,0.2,15.0625,0.21875,0.1875,7.4211852031
2024-08-16,01:00:00,0.2,16.8125,0.1875,0.21875,10.0491691169
2024-08-16,01:15:00,0.2,13.5,0.21875,0.09375,7.7262963829
2024-08-16,01:30:00,0.2,15.8125,0.09375,0.1875,10.2032700769
2024-08-16,01:45:00,0.2,14.6875,0.1875,0.21875,10.117591129
2024-08-16,02:00:00,0.2,13.8125,0.21875,0.09375,7.3185569477
2024-08-16,02:15:00,0.2,15.8125,0.09375,0.1875,7.5507237426
2024-08-16,02:30:00,0.2,16.0,0.1875,0.21875,10.0749620202
2024-08-16,02:45:00,0.2,15.375,0.21875,0.09375,10.2565184321
2024-08-16,03:00:00,0.2,17.0,0.1875,0.1875,10.3311735765
2024-08-16,03:15:00,0.2,19.8125,0.09375,0.125,10.3530586144
2024-08-16,03:30:00,0.2,14.625,0.21875,0.1875,10.3074537602
2024-08-16,03:45:00,0.2,19.5,0.1875,0.1875,10.1595311435
2024-08-16,04:00:00,0.2,14.5625,0.1875,0.125,7.6052468101
2024-08-16,04:15:00,0.2,17.5,0.125,0.1875,9.7703994287
2024-08-16,04:30:00,0.2,14.6875,0.1875,0.1875,7.1118562493
2024-08-16,04:45:00,0.2,17.4375,0.1875,0.125,8.1835647989
2024-08-16,05:00:00,0.2,16.375,0.125,0.1875,7.4487945463
2024-08-16,05:15:00,0.2,14.625,0.1875,0.1875,7.3110077352
2024-08-16,05:30:00,0.2,18.5625,0.1875,0.125,7.1911890795
2024-08-16,05:45:00,0.2,13.75,0.21875,0.1875,7.5039089347
2024-08-16,06:00:00,0.2,16.0625,0.09375,0.1875,6.9276196075
2024-08-16,06:15:00,0.2,12.8125,0.1875,0.125,7.7882673315
2024-08-16,06:30:00,0.2,15.3125,0.21875,0.1875,6.8343289422
2024-08-16,06:45:00,0.2,12.8125,0.1875,0.1875,8.1176554218
2024-08-16,07:00:00,0.2,15.25,0.09375,0.125,6.2534586671
2024-08-16,07:15:00,0.2,13.625,0.21875,0.1875,7.7080059575
2024-08-16,07:30:00,0.2,14.5,0.1875,0.1875,7.0337708827
2024-08-16,07:45:00,0.2,15.625,0.09375,0.125,7.5971747847
2024-08-16,08:00:00,0.2,15.0,0.21875,0.1875,10.1245356116
2024-08-16,08:15:00,0.2,16.25,0.1875,0.09375,10.1651467071
2024-08-16,08:30:00,0.2,20.3125,0.09375,0.21875,10.1292092789
2024-08-16,08:45:00,0.2,14.1875,0.21875,0.1875,7.9921037647
